@relation doberman-pincher_daniel-simion

@attribute name {unknown}
@attribute frameTime numeric
@attribute pcm_fftMag_mfcc[0] numeric
@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_fftMag_mfcc_de[0] numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_fftMag_mfcc_de_de[0] numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric

@data
unknown,0,15.76467,0.025355,-32.52974,0.928778,-2.446738,-35.66448,8.51296,-12.60941,-41.71625,-9.671754,-16.90733,-12.20186,126.096,-0.750579,-2.144296,-4.160688,-0.131003,-5.551316,0.890378,0.105256,-0.872534,3.449424,-2.543988,3.027385,2.087027,2.085622,-0.747381,-0.498379,-0.076085,0.706989,-0.215246,-0.202514,-0.998405,-0.834371,-0.315279,-1.122669,1.288024,-0.018591,0.533413
unknown,0.01,18.49679,-5.508946,-35.42545,2.410518,-14.61416,-35.28341,11.29193,-15.31733,-42.72214,-14.43946,-9.052728,-5.583014,129.6248,-2.335725,-3.717082,-5.018909,1.729896,-6.553384,1.417966,-1.22638,-1.569936,3.231226,-4.906005,6.023107,1.511276,3.545415,-0.819131,-0.105866,0.268862,0.942821,0.389812,-0.882432,-1.696565,-1.75932,-0.075345,-0.38427,1.535574,0.148406,0.499251
unknown,0.02,10.64571,-7.928974,-51.88532,-0.467109,-24.11961,-31.40312,7.649755,-15.61812,-23.96619,-20.00784,-5.697702,-5.076149,134.7597,-3.69491,-3.849798,-4.112002,2.47349,-6.126511,-0.385987,-4.220949,-4.695688,1.982129,-6.976325,7.969644,2.281946,4.022789,-0.179065,0.434364,0.748465,0.47198,1.472192,-1.263877,-1.42782,-1.338604,0.500762,1.155131,1.118119,0.573537,0.28869
unknown,0.03,6.645523,-14.58289,-47.94648,10.2762,-24.37723,-30.70532,2.812662,-18.95473,-34.43515,-29.03374,7.603394,-8.208335,139.4912,-3.374069,-1.820876,-2.840721,3.280853,-3.314658,-2.883596,-6.214465,-7.757555,3.806347,-2.249168,8.234123,2.731596,3.613295,0.718077,1.036466,0.686854,-0.962922,2.453666,-0.831398,-0.018762,0.226933,1.083123,2.358395,-0.458111,0.918578,0.017909
unknown,0.04,3.215755,-14.68666,-46.82923,9.363389,-28.19776,-39.88346,-8.352149,-34.26915,-35.9491,-37.25624,14.61283,0.520528,141.2767,-1.126734,-0.92058,-1.507455,1.453417,0.190283,-3.278226,-4.539804,-4.471746,5.665672,1.90325,7.512471,4.344552,3.495132,1.275379,0.90969,0.019415,-1.64253,2.215582,0.478016,1.380173,2.520579,1.03494,1.913523,-2.435456,0.088591,0.045306
unknown,0.05,5.341426,-11.23448,-52.1571,13.89954,-29.14838,-45.46122,-11.77944,-44.77959,-17.69895,-17.0611,21.96262,5.276627,144.4327,-0.029429,0.000638,-2.886911,-2.574678,2.556551,-1.292904,-1.160762,-0.54724,6.80507,2.446184,3.961136,5.072861,3.898788,1.081289,0.343905,0.09942,-1.550001,1.306317,1.718256,1.434479,3.623147,-0.251923,0.119746,-3.583982,-1.020043,0.062778
unknown,0.06,5.664089,-14.20608,-57.31729,4.988307,-20.78262,-40.4163,-7.753212,-25.06442,-4.005928,-16.47791,24.68504,9.904132,149.7646,1.009667,-0.212103,-3.991833,-2.811393,2.015794,1.208747,0.153068,4.302051,5.657469,0.243616,-2.071144,1.554269,4.106572,0.578052,0.07664,0.223655,-0.226326,-0.043273,1.934068,-0.116921,2.278126,-1.313813,-0.393292,-3.0522,-1.54526,-0.267445
unknown,0.07,5.27421,-14.81999,-57.13701,-0.409646,-15.30205,-36.90342,-3.290618,-26.29329,-16.38139,-27.19198,22.37297,12.46416,154.7412,0.964176,-0.455591,-1.101433,-2.336748,2.30417,3.4642,-1.388506,5.971284,2.550835,-0.820623,-4.893979,-0.973476,3.621466,0.22989,-0.178981,0.550836,1.221302,-0.73753,1.467757,-1.263147,1.137732,-1.555969,-0.065295,-1.028099,-0.629225,-0.734878
unknown,0.08,8.297699,-13.95442,-64.29844,2.461016,-25.04196,-38.11863,-11.83122,-22.00204,-8.320535,-30.97271,4.051941,4.698103,156.6553,1.266725,-0.309266,-1.281918,0.202822,0.10011,4.013563,-5.010539,3.659623,1.223724,1.570195,-3.320972,-0.358579,2.29657,-0.018146,-0.013203,0.304809,1.50016,-0.270381,0.756196,-0.679041,0.314072,-1.630048,0.13724,1.190935,0.999086,-0.956321
unknown,0.09,8.845502,-13.63826,-54.17369,3.479443,-15.49786,-29.28906,-16.68296,-16.45436,-2.787472,-13.91681,7.809277,3.012259,159.0947,0.991492,-0.845685,-1.487692,2.024724,-0.173257,4.643474,-4.894694,5.462636,1.242099,1.456422,-0.554445,2.88316,1.129401,-0.071673,0.375085,-0.464532,1.207567,-0.476852,-0.210173,1.011315,-0.202,-1.470808,-0.649471,1.340303,1.539932,-0.943441
unknown,0.1,10.21207,-16.34327,-65.20854,4.057871,-20.18416,-24.15566,-26.10973,-11.68577,-4.684268,-15.26452,15.36202,12.83719,159.0707,0.905281,-0.08307,-2.274659,2.508674,1.902601,4.400089,-1.489046,6.126737,-1.838402,-0.208708,1.713765,4.621381,0.571001,-0.435945,0.510699,0.500989,0.134984,-0.549497,-1.151942,2.261218,-0.849074,-1.168506,-0.966743,0.515458,0.488519,-0.572442
unknown,0.11,9.274485,-17.85399,-64.12041,8.915546,-18.59723,-20.66753,-20.62483,-4.138247,-11.98903,-27.76397,13.9457,22.81042,159.1805,0.786533,1.306736,-2.927724,2.548162,-0.981336,2.220069,1.907324,3.727725,-3.272142,-3.178527,-0.709831,4.236202,-0.232953,-0.787401,0.206402,1.357432,-1.022391,-0.886906,-1.434896,1.715472,-2.455966,-0.3579,0.044271,0.115592,-1.771962,-0.168513
unknown,0.12,12.60962,-12.26191,-70.69837,12.28633,-13.97927,-20.42895,-17.30552,2.47359,-12.91177,-25.09268,9.55255,17.90592,159.4675,-0.810523,1.16802,1.943042,0.616023,-2.243333,-0.534447,2.89454,0.281706,-2.361686,-0.946044,-0.665989,1.407494,0.115538,-0.920812,-0.411309,2.05685,-1.37304,-0.700057,-1.221607,-0.21312,-2.892704,0.795055,0.730287,-0.424192,-3.692385,-0.05659
unknown,0.13,11.57939,-9.145264,-66.06739,12.10602,-23.50698,-20.05208,-11.54845,-4.895416,-15.03443,-24.89537,7.164855,21.6589,157.7316,-2.087611,-0.439218,3.190616,-2.140903,-2.534822,-0.063736,1.490872,-3.894677,-0.28576,2.046446,1.213394,-4.369708,0.514569,-0.510065,-0.813381,1.675075,-1.040825,0.734078,-0.505283,-1.58535,-1.804542,1.488746,1.213965,-0.319133,-3.555939,-0.098258
unknown,0.14,5.007,-14.85753,-54.51984,5.542752,-28.94595,-27.13563,-16.17522,-9.898659,-14.97,-21.42904,15.4225,20.45042,160.3729,-2.261707,-1.26664,4.950423,-2.011993,-0.820939,-0.566041,-2.346421,-4.52558,0.643681,0.830239,-1.368808,-9.537589,-0.085709,0.468769,-0.482161,0.259883,0.495794,0.90282,0.024611,-1.102738,-0.00858,0.760872,0.213852,-0.686922,-1.556498,-0.563572
unknown,0.15,2.637739,-18.75227,-56.2566,1.58282,-23.78799,-17.63287,-13.73562,-17.4255,-12.38871,-19.36356,17.0777,-0.310365,161.3006,-1.0382,-1.542838,3.943962,-1.341954,1.977855,-0.290548,-3.398944,-2.89134,2.668905,2.003155,-1.954089,-8.070951,-0.623621,1.056045,0.168676,-0.544153,1.292579,-0.264632,0.012569,0.488629,1.434204,-0.462332,-1.162586,-0.461666,1.603558,-0.852802
unknown,0.16,5.771907,-13.79161,-50.85165,7.487969,-17.94346,-24.46875,-27.94404,-13.88927,-11.01622,-23.70739,-2.247911,-18.79739,157.2544,1.008618,-0.690975,2.865784,2.695518,0.014426,-0.297987,-0.17424,-0.262861,-0.03466,0.144863,-2.516856,-4.524375,-2.133229,0.939088,0.402689,-1.27705,0.935363,-1.262259,0.551038,1.993731,1.318996,-0.868557,-2.290925,0.820504,3.805084,-0.660936
unknown,0.17,6.00594,-17.39242,-48.18168,4.423638,-19.11895,-22.83825,-22.65876,-17.35681,-3.666792,-13.74042,6.229618,0.928052,156.1727,1.557451,0.116327,1.512169,1.968236,-4.275662,-0.134916,2.847928,1.144987,-2.258249,-3.423798,-0.520914,1.141476,-2.725682,0.283131,0.332871,-1.669352,-0.231603,-1.390024,0.985391,1.521039,0.382204,-0.409217,-2.894543,0.786589,2.97436,-0.348459
unknown,0.18,8.365991,-18.99234,-44.22838,17.59993,-31.20834,-26.02287,-12.58485,-11.24731,-19.50426,-23.51629,8.26226,-2.790666,152.2707,1.135908,-0.082778,-0.21893,1.009728,-4.005476,2.111336,4.4988,0.051236,-1.235528,-7.910911,2.017123,4.881619,-2.33936,-0.383591,0.011015,-1.34503,-1.927455,-0.093838,1.224151,-0.324989,-0.793774,1.163859,-1.284193,0.379935,1.682681,0.193902
unknown,0.19,9.127954,-15.57027,-52.00739,6.368017,-38.53387,-17.5304,-7.175569,-13.02155,-19.43594,-36.57809,9.218046,-2.606347,150.1641,0.313812,-0.182584,-2.86044,-1.657072,-2.962314,3.431747,1.869731,-1.137368,1.223254,-8.441671,-0.288131,2.09785,-2.262852,-0.606348,-0.130005,-0.143357,-1.275446,1.493008,0.888386,-1.164478,-0.843687,1.746491,1.215627,-0.130482,0.259883,0.381555
unknown,0.2,9.890443,-15.11657,-50.03344,11.56442,-28.26338,-16.56601,-13.19163,-15.80072,-9.309292,-51.84311,6.343489,7.37791,148.5619,-0.287516,-0.486446,-1.673061,-5.129105,-1.111438,4.039439,-1.310089,-3.090555,4.043883,-3.767164,-0.733572,3.410843,-1.395134,-0.503228,-0.026606,0.981418,0.008098,1.579573,0.167861,-0.957524,-0.50547,1.315062,3.034783,-0.057955,-1.23257,0.327146
unknown,0.21,6.812772,-20.24322,-59.58135,-0.843966,-35.403,-10.40795,-13.00671,-20.76695,-2.648001,-41.78537,5.748347,6.333015,146.7129,-0.762576,-0.331865,1.522451,-1.339576,1.742359,3.342964,-0.070018,-1.502555,3.8345,0.582465,0.202023,3.176282,-1.290019,-0.015463,0.320927,1.569437,1.367143,1.34318,-1.112268,-0.17077,-0.500511,0.585322,2.872205,0.778889,-1.224827,0.14207
unknown,0.22,8.086003,-19.08809,-48.80671,-4.439599,-38.33096,-9.386898,-16.21972,-22.82738,-7.678811,-39.74847,6.32925,9.793867,147.0206,-0.842039,-0.141167,2.496712,0.891472,1.540053,2.995033,0.681053,-2.293522,4.034161,2.750937,1.482269,-1.820446,-1.190045,0.226592,0.27953,0.50571,1.72896,0.942921,-2.201555,0.15216,-0.432859,-0.230917,1.533819,0.2686,-1.779917,-0.221813
