@relation german-shephard-daniel_simon

@attribute name {unknown}
@attribute frameTime numeric
@attribute pcm_fftMag_mfcc[0] numeric
@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_fftMag_mfcc_de[0] numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_fftMag_mfcc_de_de[0] numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric

@data
unknown,0,-6.246389,7.815835,-3.508774,-10.08477,0.664899,15.78866,-3.687258,5.924406,11.43499,-1.8548,5.77224,0.819166,60.28899,0.953345,-2.071944,-0.800512,1.177228,-3.239082,-6.563264,-5.050704,-1.061247,1.618392,3.060894,1.132169,0.859271,2.592033,-0.660739,-0.716049,0.899004,-0.202432,0.693621,0.830742,1.20979,0.529851,-1.103135,-1.023525,0.400351,0.044367,-0.122695
unknown,0.01,-0.430102,0.576559,-5.365186,-0.148463,-6.41236,-10.99588,-25.15968,0.71649,16.99952,6.493049,-6.063118,-1.139262,67.85883,-0.500251,-3.708275,1.06363,0.005173,-3.250553,-7.229898,-4.354306,-0.364755,-1.019766,1.912457,3.413546,1.740335,2.531583,-0.671128,-0.19613,1.018118,-0.508475,1.396842,2.093631,2.08428,0.122548,-1.565587,-1.881723,-0.70927,-0.019689,-0.244564
unknown,0.02,-4.387808,1.07575,-6.583129,-9.166786,-11.99188,-3.6354,-18.20457,3.222128,16.74469,9.275745,17.35076,6.094738,69.46424,-1.623553,-4.834025,2.762435,0.751094,0.234758,-2.076238,0.650048,1.239763,-2.578201,-1.482512,1.993233,0.640575,2.008781,0.350742,0.381511,0.146707,-0.238883,1.509093,1.71373,0.62681,-1.142447,-0.571202,-1.757371,-2.906939,-0.943465,0.153837
unknown,0.03,-9.676934,-7.355499,3.346554,-10.5179,-9.259477,-10.64881,-18.20013,5.451769,3.681311,2.142214,17.05071,6.883056,68.35928,-1.113845,-1.671552,2.508604,-1.152082,2.00821,1.661376,2.520319,-1.599011,-4.111247,-4.076018,-2.844715,0.870173,1.660838,1.588999,1.466397,-1.209168,-0.293564,0.694101,1.15544,-1.341908,-2.357955,1.421067,-0.626299,-4.141941,-1.552866,0.423035
unknown,0.04,-9.740739,-12.38826,5.947533,-1.144584,3.262246,5.233924,-3.916793,9.755583,5.203088,-7.091944,4.181492,0.010881,70.08267,3.013852,-1.182751,-0.789462,0.561438,1.677002,-2.440252,-5.353967,-6.156353,0.308121,-2.731724,-10.2734,-3.422973,3.79659,1.806945,1.652526,-1.560559,-1.311949,-0.910393,0.702342,-2.434228,-1.908581,1.772774,0.785473,-2.374436,-0.805123,0.633827
unknown,0.05,-3.32286,-1.049194,0.912501,-9.919976,-3.998372,-7.123668,-19.70197,-10.54529,2.214081,-5.703197,-13.70206,6.253532,75.8538,5.12604,1.798074,-3.20626,-1.367819,-0.501173,-1.270694,-8.06184,-8.456469,4.642406,-0.594433,-11.16284,-3.992223,3.752853,0.594041,0.281655,-0.289332,-0.86803,-1.069493,1.075527,0.206496,0.466391,0.283743,1.012844,1.212621,-0.506453,0.421842
unknown,0.06,7.504414,-7.991159,-9.313415,-6.658556,-6.23742,-17.59923,-44.22348,-19.56111,19.01891,-0.460171,-18.63984,-10.70536,84.69994,4.291228,1.693794,-2.182929,-5.700783,-3.062518,2.901506,-6.230015,-4.874415,1.908842,0.704058,-5.719882,-0.953844,4.131909,-1.40145,-0.527611,1.463979,-0.524099,-0.504849,1.892891,4.289658,2.600339,-2.302661,0.400137,4.007565,1.14642,0.001718
unknown,0.07,7.330687,-0.563682,-5.054271,-14.60001,-7.015509,-5.585696,-38.35599,-22.17223,19.98543,-4.145839,-27.35283,-7.719936,79.81492,1.21767,-1.701551,1.758676,-2.361124,-0.969495,4.368131,3.990821,0.091976,-3.492894,-0.72969,0.941632,-2.896657,3.60239,-1.909981,-1.221495,1.57402,0.671102,-0.034271,0.347718,5.071638,3.239399,-2.662664,-0.016529,3.627778,1.095669,0.09832
unknown,0.08,6.388626,-4.162047,-1.983724,-27.30848,-10.54177,18.97247,-25.73986,-8.803028,5.861625,-4.350332,-17.59253,2.228395,88.76166,-2.039211,-2.070993,4.047964,-1.562406,-0.61308,4.204789,10.06799,2.571122,-7.137537,-0.663409,3.712195,1.761346,3.880414,-1.44109,-0.493565,0.365736,1.191301,0.719207,-1.097371,2.514621,0.970067,-0.422773,0.649931,1.131429,0.627828,-0.47085
unknown,0.09,3.323384,-11.47151,6.041036,-11.40063,-6.693668,-3.568865,-8.989679,-15.46445,-8.671746,-7.406568,-9.517553,-14.69663,91.83488,-1.258648,-2.427006,1.548395,-0.081497,-1.897246,-0.183746,9.147348,4.017759,-4.147723,0.006653,2.260008,0.128528,4.3702,-0.101827,0.706416,-1.096709,0.187253,0.839343,-0.158233,-1.814775,-1.767587,2.20107,1.002067,-1.074553,0.743233,-1.143949
