@relation puppy

@attribute name {unknown}
@attribute frameTime numeric
@attribute pcm_fftMag_mfcc[0] numeric
@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_fftMag_mfcc_de[0] numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_fftMag_mfcc_de_de[0] numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric

@data
unknown,0.19,-76.65488,0.113503,64.51797,-63.08379,22.64952,-11.90483,45.09931,-50.09438,20.66545,8.250401,6.097106,-16.9611,84.22032,-0.280535,1.759744,-0.276402,-3.316324,3.67259,1.287425,-3.491171,-0.617173,5.260633,-2.211215,-3.271163,3.283723,-0.705918,1.998286,-0.368203,-0.427158,-0.098168,0.668284,-1.260825,-0.052846,0.091656,0.203579,-1.030392,-0.58156,1.235539,0.957986
unknown,0.24,-76.33679,-13.62083,67.30309,-56.93029,26.58122,-30.52243,53.7724,-38.35431,15.33387,-7.128043,17.86658,-5.220623,84.26877,4.93079,-3.815786,-0.389648,1.559078,-6.315174,-11.44124,7.500421,3.635864,-10.61578,-7.288838,5.859251,-3.901093,3.22912,5.343408,0.953226,-5.142058,-0.592653,1.219169,-1.173775,-4.234957,-0.439365,1.816416,-0.064764,-1.699702,-0.976324,3.295778
unknown,0.22,-68.93549,7.291965,58.55111,-71.29754,30.60965,-6.866798,27.76786,-51.25071,35.35696,0.076651,-10.16412,-4.608896,86.53946,-3.397331,-3.294446,2.610075,1.82586,-2.11307,-1.855362,3.537145,1.53878,-2.850286,-0.495562,3.038615,1.336828,-1.857406,0.592821,-1.74349,0.576857,1.466938,-2.548282,-3.400307,3.495924,1.308962,-4.344327,-1.165662,3.083066,-1.84725,0.634643
unknown,9.07,-67.20988,-0.308892,93.51749,-5.631006,51.22153,-49.79638,65.50528,4.040428,27.81116,-48.38186,-2.353731,11.82154,85.00325,-8.382719,0.190592,9.51839,2.582684,1.24834,5.35254,11.36411,4.045704,-4.393554,1.608771,2.401187,-0.583331,-4.827084,4.097965,0.144021,-5.81135,-4.077485,0.873069,2.111586,-1.581585,-3.320618,-0.965922,3.637594,1.341245,-2.721712,2.450834
unknown,0.12,-65.37772,-1.975878,51.77258,-49.37242,27.84208,-37.0363,44.80328,-29.13489,13.94257,-22.38939,20.51237,3.280003,90.52039,-1.018027,0.629339,-0.303981,0.913391,-0.52842,-0.897289,0.055225,3.159497,-3.798496,0.0832,3.133224,-2.404098,0.11949,0.782646,0.162077,0.798953,-1.550616,-0.119301,1.664628,0.757122,-3.683297,1.714745,2.772892,-2.421152,-1.72541,0.408506
unknown,0.02,-65.17393,-16.68258,62.16105,-15.852,35.57835,-21.70906,25.06503,11.95142,21.7273,12.68874,-15.90633,27.45455,50.33744,-2.207348,0.098199,4.270537,-19.08591,7.547908,-6.761217,3.161219,-15.07082,7.892346,-12.77325,-0.170756,-0.477653,18.31577,2.119293,3.448747,-4.094418,-1.807778,-0.057304,2.230553,-1.967255,-3.22699,1.466727,-1.851341,1.676479,-1.05195,0.869234
unknown,0.11,-64.86017,-9.778545,63.12984,-49.52515,24.90499,-41.27717,55.06839,-26.11363,4.600343,-18.74642,28.55774,1.279399,90.99796,0.892318,0.065145,-2.58363,2.602638,0.388149,-1.670467,-3.484517,7.999661,-4.707696,-2.836439,3.355542,1.567838,0.471127,0.749096,1.242274,-0.769478,-1.374236,0.825132,1.776208,-1.52511,-1.715063,2.154027,0.909746,-2.015508,-0.822911,0.443847
unknown,0.14,-64.6713,-8.674266,62.75523,-46.48211,19.76124,-43.44277,62.87404,-28.17578,-4.153822,-14.09465,37.3848,-14.14083,94.83736,2.425087,-1.261739,2.272732,-2.455436,-0.763594,2.243631,2.633022,-6.628676,1.098071,6.921186,-4.727788,-3.881448,1.216403,0.204843,0.459539,-0.167183,-1.281413,0.506319,1.883694,-1.443713,-1.945691,2.227481,1.308147,-2.943709,0.307814,-0.269338
unknown,0.09,-63.69468,-1.517262,61.0148,-60.35088,28.56199,-31.87254,57.12338,-51.74836,20.39052,-5.059666,13.36604,-11.31617,92.64695,-1.576008,-5.288101,4.162208,5.013746,-4.53347,-6.554962,8.727443,4.05915,-9.837357,-0.287501,8.746625,-1.806332,-0.304882,0.542804,0.798133,-1.896367,-0.049265,1.66543,0.273737,-3.847346,3.091724,0.778217,-2.441306,-0.650634,2.855979,-0.122102
unknown,0.05,-63.02668,11.67611,44.53283,-69.52799,44.82389,-14.48899,13.47418,-37.63155,45.6926,-22.44123,-11.30969,23.07957,86.95773,-1.79448,0.77079,3.593513,-6.262304,3.733492,-0.841737,0.982527,-2.965371,1.780902,1.063422,-2.633879,0.733427,3.429205,-0.342074,-2.258048,1.734558,5.561317,-3.051551,-0.318769,2.920934,3.482664,-3.948435,4.660954,0.989311,-2.063289,-3.760042
