@relation small-dog-barking_daniel-simion

@attribute name {unknown}
@attribute frameTime numeric
@attribute pcm_fftMag_mfcc[0] numeric
@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_fftMag_mfcc_de[0] numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_fftMag_mfcc_de_de[0] numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric

@data
unknown,0,-7.67199,-1.387293,-15.45123,-15.21467,-22.43742,-1.355767,2.368516,-0.666058,5.43996,2.547786,-6.809209,2.977708,94.53526,-0.644752,0.168971,1.810888,2.882801,1.514508,-0.433092,-1.383861,-2.632131,-4.479343,-1.897635,1.686497,-0.644709,-0.064964,0.127345,0.034186,-0.311145,-0.098247,0.000436,0.000564,-0.382748,-0.264782,0.149744,0.092164,-0.36893,-0.723141,0.033153
unknown,0.01,-8.72901,-2.214913,-12.55081,-8.671273,-13.49023,-2.859308,0.065618,-1.69974,-0.829327,3.445388,2.149599,3.840083,94.47685,-0.658538,0.093024,1.033119,2.90956,1.13439,-1.556033,-3.683555,-4.982647,-5.376531,-1.198313,0.956538,-3.204732,0.031983,0.204791,0.224048,-0.366859,-0.404091,0.204708,0.412256,0.198377,0.20749,0.776421,0.017078,-0.23363,-0.333551,-0.037776
unknown,0.02,-10.36724,-0.128629,-7.847007,-4.072363,-19.33847,-2.769454,-3.399339,-13.30987,-13.82211,-7.389189,-2.856129,-0.677025,94.23965,-0.001137,0.377873,0.644049,2.378186,1.706745,0.1312,-2.147754,-2.780784,-3.282028,-1.786477,0.206825,-2.980403,0.052328,0.16222,0.137867,-0.342971,-0.572002,0.548763,0.517965,1.141453,1.45571,1.896272,0.394316,0.031941,0.200301,-0.131487
unknown,0.03,-9.617052,-1.551503,-14.08775,-6.238022,-18.31494,-8.429086,-13.16533,-19.25739,-11.81166,1.52471,-4.003061,-11.21859,94.84299,0.057396,1.184761,0.560013,1.114654,2.44193,1.346043,-0.010028,-1.520355,-1.195894,-1.867822,1.258183,-1.144619,-0.312489,0.068683,0.052487,0.399127,-0.33294,0.462591,0.629762,1.798654,2.261945,2.238034,0.423913,0.13294,0.92656,-0.110789
unknown,0.04,-7.233654,0.170367,-11.46252,-4.540367,-11.49134,2.085121,-1.754779,-5.791156,-5.479014,-5.42426,-2.698752,-4.39497,94.61384,-0.191621,0.312439,0.332585,0.920243,3.604555,0.705695,2.486639,2.915272,2.911699,0.408698,1.695377,-0.673262,-0.550162,-0.040015,-0.16416,0.486685,-0.440702,-0.4901,0.123768,0.886018,1.444116,1.336004,0.707485,-0.175375,0.252378,0.010253
unknown,0.05,-10.00882,3.559395,-7.942989,-2.864001,-5.204151,1.44362,-0.806803,-13.06087,-10.98034,-6.876189,8.361823,-0.024039,92.72731,-0.219883,0.388178,3.184486,1.973831,2.498438,1.305529,2.992517,3.47905,2.716775,-0.176336,0.876961,0.274499,-0.220715,0.069464,-0.348179,0.195467,-0.640741,-1.870971,-0.157507,-0.050453,0.712616,0.300226,0.838267,-0.58612,-0.361896,0.212778
unknown,0.06,-11.12946,-1.121883,-9.256465,-1.158158,-7.871095,-4.177334,2.854594,-1.831767,0.320726,-1.145252,-0.561684,-9.640612,92.54668,-0.06257,-0.044636,1.765236,-0.254916,-0.772011,0.770299,0.781065,1.940095,1.441656,0.905205,-0.479441,-2.428071,0.057707,0.147219,-0.068459,-0.28719,-0.630794,-2.091394,0.207922,-0.863882,-0.719533,-0.905698,0.649819,-0.541789,-0.518979,0.277158
unknown,0.07,-8.768563,1.035514,0.73165,1.94003,-7.632875,1.229788,-0.507431,-3.84183,-1.127657,-1.496473,-0.686788,-7.223271,94.77299,0.340189,-0.377594,0.821022,-1.501471,-4.724642,0.526206,0.590493,2.530312,1.040257,2.075257,-0.58501,-2.076697,0.447466,0.040022,-0.092508,-1.146739,-0.307344,-0.838487,0.243496,-0.84225,-1.178227,-0.655974,0.651264,-0.486433,-0.379719,0.12857
unknown,0.08,-8.166632,1.209128,-6.973655,-8.216963,-14.13703,6.04353,2.000857,-0.700202,-3.197081,-3.588094,-0.571651,-12.93571,93.87953,0.264436,0.35303,0.078365,-0.496074,-3.240873,2.134967,-0.631757,-0.208023,-0.778534,2.531997,-0.282583,-2.092557,0.50154,-0.015647,-0.138689,-0.721374,0.833103,1.456255,0.327889,-0.180669,-0.814509,-0.473106,0.017429,-0.250496,1.097351,-0.040987
unknown,0.09,-9.78929,0.505921,-4.979284,-6.841956,-25.69439,-1.035782,2.572531,-0.975091,-4.020157,4.721517,5.441756,-8.759974,94.29821,-0.183277,-0.273195,-1.705772,0.557689,-0.459564,1.840672,-0.512321,-1.338028,0.547,2.266587,-1.653632,-1.791855,0.200219,0.033898,0.039912,-0.088064,1.123064,3.023879,-0.219938,-0.678022,-0.871243,0.041895,-0.701419,-0.201195,1.494894,-0.237179
