name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-6.246389e+00;7.815835e+00;-3.508774e+00;-1.008477e+01;6.648992e-01;1.578866e+01;-3.687258e+00;5.924406e+00;1.143499e+01;-1.854800e+00;5.772240e+00;8.191664e-01;6.028899e+01;9.533450e-01;-2.071944e+00;-8.005122e-01;1.177228e+00;-3.239082e+00;-6.563264e+00;-5.050704e+00;-1.061247e+00;1.618392e+00;3.060894e+00;1.132169e+00;8.592715e-01;2.592033e+00;-6.607392e-01;-7.160492e-01;8.990037e-01;-2.024322e-01;6.936207e-01;8.307419e-01;1.209790e+00;5.298513e-01;-1.103135e+00;-1.023525e+00;4.003507e-01;4.436700e-02;-1.226953e-01
'unknown';0.010000;-4.301023e-01;5.765589e-01;-5.365186e+00;-1.484631e-01;-6.412360e+00;-1.099588e+01;-2.515968e+01;7.164898e-01;1.699952e+01;6.493049e+00;-6.063118e+00;-1.139262e+00;6.785883e+01;-5.002508e-01;-3.708275e+00;1.063630e+00;5.173206e-03;-3.250553e+00;-7.229898e+00;-4.354306e+00;-3.647550e-01;-1.019766e+00;1.912457e+00;3.413546e+00;1.740335e+00;2.531583e+00;-6.711277e-01;-1.961295e-01;1.018118e+00;-5.084754e-01;1.396842e+00;2.093631e+00;2.084280e+00;1.225483e-01;-1.565587e+00;-1.881723e+00;-7.092702e-01;-1.968935e-02;-2.445641e-01
'unknown';0.020000;-4.387808e+00;1.075750e+00;-6.583129e+00;-9.166786e+00;-1.199188e+01;-3.635400e+00;-1.820457e+01;3.222128e+00;1.674469e+01;9.275745e+00;1.735076e+01;6.094738e+00;6.946424e+01;-1.623553e+00;-4.834025e+00;2.762435e+00;7.510939e-01;2.347576e-01;-2.076238e+00;6.500478e-01;1.239763e+00;-2.578201e+00;-1.482512e+00;1.993233e+00;6.405748e-01;2.008781e+00;3.507419e-01;3.815109e-01;1.467073e-01;-2.388835e-01;1.509093e+00;1.713730e+00;6.268100e-01;-1.142447e+00;-5.712023e-01;-1.757371e+00;-2.906939e+00;-9.434651e-01;1.538370e-01
'unknown';0.030000;-9.676934e+00;-7.355499e+00;3.346554e+00;-1.051790e+01;-9.259477e+00;-1.064881e+01;-1.820013e+01;5.451769e+00;3.681311e+00;2.142214e+00;1.705071e+01;6.883056e+00;6.835928e+01;-1.113845e+00;-1.671552e+00;2.508604e+00;-1.152082e+00;2.008210e+00;1.661376e+00;2.520319e+00;-1.599011e+00;-4.111247e+00;-4.076018e+00;-2.844715e+00;8.701732e-01;1.660838e+00;1.588999e+00;1.466397e+00;-1.209168e+00;-2.935640e-01;6.941005e-01;1.155440e+00;-1.341908e+00;-2.357955e+00;1.421067e+00;-6.262993e-01;-4.141941e+00;-1.552866e+00;4.230351e-01
'unknown';0.040000;-9.740739e+00;-1.238826e+01;5.947533e+00;-1.144584e+00;3.262246e+00;5.233924e+00;-3.916793e+00;9.755583e+00;5.203088e+00;-7.091944e+00;4.181492e+00;1.088121e-02;7.008267e+01;3.013852e+00;-1.182751e+00;-7.894624e-01;5.614382e-01;1.677002e+00;-2.440252e+00;-5.353967e+00;-6.156353e+00;3.081205e-01;-2.731724e+00;-1.027340e+01;-3.422973e+00;3.796590e+00;1.806945e+00;1.652526e+00;-1.560559e+00;-1.311949e+00;-9.103934e-01;7.023421e-01;-2.434228e+00;-1.908581e+00;1.772774e+00;7.854725e-01;-2.374436e+00;-8.051234e-01;6.338271e-01
'unknown';0.050000;-3.322860e+00;-1.049194e+00;9.125014e-01;-9.919976e+00;-3.998372e+00;-7.123668e+00;-1.970197e+01;-1.054529e+01;2.214081e+00;-5.703197e+00;-1.370206e+01;6.253532e+00;7.585380e+01;5.126040e+00;1.798074e+00;-3.206260e+00;-1.367819e+00;-5.011730e-01;-1.270694e+00;-8.061840e+00;-8.456469e+00;4.642406e+00;-5.944334e-01;-1.116284e+01;-3.992223e+00;3.752853e+00;5.940406e-01;2.816548e-01;-2.893322e-01;-8.680304e-01;-1.069493e+00;1.075527e+00;2.064958e-01;4.663912e-01;2.837428e-01;1.012844e+00;1.212621e+00;-5.064532e-01;4.218423e-01
'unknown';0.060000;7.504414e+00;-7.991159e+00;-9.313415e+00;-6.658556e+00;-6.237420e+00;-1.759923e+01;-4.422348e+01;-1.956111e+01;1.901891e+01;-4.601711e-01;-1.863984e+01;-1.070536e+01;8.469994e+01;4.291228e+00;1.693794e+00;-2.182929e+00;-5.700783e+00;-3.062518e+00;2.901506e+00;-6.230015e+00;-4.874415e+00;1.908842e+00;7.040582e-01;-5.719882e+00;-9.538442e-01;4.131909e+00;-1.401450e+00;-5.276109e-01;1.463979e+00;-5.240992e-01;-5.048487e-01;1.892891e+00;4.289658e+00;2.600339e+00;-2.302661e+00;4.001374e-01;4.007565e+00;1.146420e+00;1.718450e-03
'unknown';0.070000;7.330687e+00;-5.636818e-01;-5.054271e+00;-1.460001e+01;-7.015509e+00;-5.585696e+00;-3.835599e+01;-2.217223e+01;1.998543e+01;-4.145839e+00;-2.735283e+01;-7.719936e+00;7.981492e+01;1.217670e+00;-1.701551e+00;1.758676e+00;-2.361124e+00;-9.694948e-01;4.368131e+00;3.990821e+00;9.197636e-02;-3.492894e+00;-7.296904e-01;9.416319e-01;-2.896657e+00;3.602390e+00;-1.909981e+00;-1.221495e+00;1.574020e+00;6.711020e-01;-3.427079e-02;3.477178e-01;5.071638e+00;3.239399e+00;-2.662664e+00;-1.652949e-02;3.627778e+00;1.095669e+00;9.831977e-02
'unknown';0.080000;6.388626e+00;-4.162047e+00;-1.983724e+00;-2.730848e+01;-1.054177e+01;1.897247e+01;-2.573986e+01;-8.803028e+00;5.861625e+00;-4.350332e+00;-1.759253e+01;2.228395e+00;8.876166e+01;-2.039211e+00;-2.070993e+00;4.047964e+00;-1.562406e+00;-6.130800e-01;4.204789e+00;1.006799e+01;2.571122e+00;-7.137537e+00;-6.634086e-01;3.712195e+00;1.761346e+00;3.880414e+00;-1.441090e+00;-4.935646e-01;3.657361e-01;1.191301e+00;7.192072e-01;-1.097371e+00;2.514621e+00;9.700668e-01;-4.227728e-01;6.499307e-01;1.131429e+00;6.278276e-01;-4.708500e-01
'unknown';0.090000;3.323384e+00;-1.147151e+01;6.041036e+00;-1.140063e+01;-6.693668e+00;-3.568865e+00;-8.989679e+00;-1.546445e+01;-8.671746e+00;-7.406568e+00;-9.517553e+00;-1.469663e+01;9.183488e+01;-1.258648e+00;-2.427006e+00;1.548395e+00;-8.149739e-02;-1.897246e+00;-1.837458e-01;9.147348e+00;4.017759e+00;-4.147723e+00;6.652546e-03;2.260008e+00;1.285283e-01;4.370200e+00;-1.018266e-01;7.064164e-01;-1.096709e+00;1.872534e-01;8.393427e-01;-1.582329e-01;-1.814775e+00;-1.767587e+00;2.201070e+00;1.002067e+00;-1.074553e+00;7.432331e-01;-1.143949e+00
