name,frameTime,pcm_fftMag_mfcc[0],pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_fftMag_mfcc_de[0],pcm_fftMag_mfcc_de[1],pcm_fftMag_mfcc_de[2],pcm_fftMag_mfcc_de[3],pcm_fftMag_mfcc_de[4],pcm_fftMag_mfcc_de[5],pcm_fftMag_mfcc_de[6],pcm_fftMag_mfcc_de[7],pcm_fftMag_mfcc_de[8],pcm_fftMag_mfcc_de[9],pcm_fftMag_mfcc_de[10],pcm_fftMag_mfcc_de[11],pcm_fftMag_mfcc_de[12],pcm_fftMag_mfcc_de_de[0],pcm_fftMag_mfcc_de_de[1],pcm_fftMag_mfcc_de_de[2],pcm_fftMag_mfcc_de_de[3],pcm_fftMag_mfcc_de_de[4],pcm_fftMag_mfcc_de_de[5],pcm_fftMag_mfcc_de_de[6],pcm_fftMag_mfcc_de_de[7],pcm_fftMag_mfcc_de_de[8],pcm_fftMag_mfcc_de_de[9],pcm_fftMag_mfcc_de_de[10],pcm_fftMag_mfcc_de_de[11],pcm_fftMag_mfcc_de_de[12]
unknown,0.000000,1.576467e+01,2.535528e-02,-3.252974e+01,9.287785e-01,-2.446738e+00,-3.566448e+01,8.512960e+00,-1.260941e+01,-4.171625e+01,-9.671754e+00,-1.690733e+01,-1.220186e+01,1.260960e+02,-7.505788e-01,-2.144296e+00,-4.160688e+00,-1.310035e-01,-5.551316e+00,8.903782e-01,1.052563e-01,-8.725344e-01,3.449424e+00,-2.543988e+00,3.027385e+00,2.087027e+00,2.085622e+00,-7.473808e-01,-4.983789e-01,-7.608481e-02,7.069888e-01,-2.152457e-01,-2.025143e-01,-9.984046e-01,-8.343709e-01,-3.152788e-01,-1.122669e+00,1.288024e+00,-1.859133e-02,5.334126e-01
unknown,0.010000,1.849679e+01,-5.508946e+00,-3.542545e+01,2.410518e+00,-1.461416e+01,-3.528341e+01,1.129193e+01,-1.531733e+01,-4.272214e+01,-1.443946e+01,-9.052728e+00,-5.583014e+00,1.296248e+02,-2.335725e+00,-3.717082e+00,-5.018909e+00,1.729896e+00,-6.553384e+00,1.417966e+00,-1.226380e+00,-1.569936e+00,3.231226e+00,-4.906005e+00,6.023107e+00,1.511276e+00,3.545415e+00,-8.191311e-01,-1.058662e-01,2.688622e-01,9.428207e-01,3.898121e-01,-8.824315e-01,-1.696565e+00,-1.759320e+00,-7.534485e-02,-3.842697e-01,1.535574e+00,1.484056e-01,4.992512e-01
unknown,0.020000,1.064571e+01,-7.928974e+00,-5.188532e+01,-4.671087e-01,-2.411961e+01,-3.140312e+01,7.649755e+00,-1.561812e+01,-2.396619e+01,-2.000784e+01,-5.697702e+00,-5.076149e+00,1.347597e+02,-3.694910e+00,-3.849798e+00,-4.112002e+00,2.473490e+00,-6.126511e+00,-3.859873e-01,-4.220949e+00,-4.695688e+00,1.982129e+00,-6.976325e+00,7.969644e+00,2.281946e+00,4.022789e+00,-1.790655e-01,4.343638e-01,7.484654e-01,4.719798e-01,1.472192e+00,-1.263877e+00,-1.427820e+00,-1.338604e+00,5.007618e-01,1.155131e+00,1.118119e+00,5.735370e-01,2.886900e-01
unknown,0.030000,6.645523e+00,-1.458289e+01,-4.794648e+01,1.027620e+01,-2.437723e+01,-3.070532e+01,2.812662e+00,-1.895473e+01,-3.443515e+01,-2.903374e+01,7.603394e+00,-8.208335e+00,1.394912e+02,-3.374069e+00,-1.820876e+00,-2.840721e+00,3.280853e+00,-3.314658e+00,-2.883596e+00,-6.214465e+00,-7.757555e+00,3.806347e+00,-2.249168e+00,8.234123e+00,2.731596e+00,3.613295e+00,7.180767e-01,1.036466e+00,6.868542e-01,-9.629221e-01,2.453666e+00,-8.313978e-01,-1.876190e-02,2.269333e-01,1.083123e+00,2.358395e+00,-4.581114e-01,9.185775e-01,1.790895e-02
unknown,0.040000,3.215755e+00,-1.468666e+01,-4.682923e+01,9.363389e+00,-2.819776e+01,-3.988346e+01,-8.352149e+00,-3.426915e+01,-3.594910e+01,-3.725624e+01,1.461283e+01,5.205280e-01,1.412767e+02,-1.126734e+00,-9.205800e-01,-1.507455e+00,1.453417e+00,1.902828e-01,-3.278226e+00,-4.539804e+00,-4.471746e+00,5.665672e+00,1.903250e+00,7.512471e+00,4.344552e+00,3.495132e+00,1.275379e+00,9.096903e-01,1.941471e-02,-1.642530e+00,2.215582e+00,4.780161e-01,1.380173e+00,2.520579e+00,1.034940e+00,1.913523e+00,-2.435456e+00,8.859112e-02,4.530597e-02
unknown,0.050000,5.341426e+00,-1.123448e+01,-5.215710e+01,1.389954e+01,-2.914838e+01,-4.546122e+01,-1.177944e+01,-4.477959e+01,-1.769895e+01,-1.706110e+01,2.196262e+01,5.276627e+00,1.444327e+02,-2.942915e-02,6.379128e-04,-2.886911e+00,-2.574678e+00,2.556551e+00,-1.292904e+00,-1.160762e+00,-5.472399e-01,6.805070e+00,2.446184e+00,3.961136e+00,5.072861e+00,3.898788e+00,1.081289e+00,3.439047e-01,9.941974e-02,-1.550001e+00,1.306317e+00,1.718256e+00,1.434479e+00,3.623147e+00,-2.519228e-01,1.197456e-01,-3.583982e+00,-1.020043e+00,6.277819e-02
unknown,0.060000,5.664089e+00,-1.420608e+01,-5.731729e+01,4.988307e+00,-2.078262e+01,-4.041630e+01,-7.753212e+00,-2.506442e+01,-4.005928e+00,-1.647791e+01,2.468504e+01,9.904132e+00,1.497646e+02,1.009667e+00,-2.121032e-01,-3.991833e+00,-2.811393e+00,2.015794e+00,1.208747e+00,1.530678e-01,4.302051e+00,5.657469e+00,2.436163e-01,-2.071144e+00,1.554269e+00,4.106572e+00,5.780524e-01,7.663997e-02,2.236553e-01,-2.263260e-01,-4.327267e-02,1.934068e+00,-1.169214e-01,2.278126e+00,-1.313813e+00,-3.932918e-01,-3.052200e+00,-1.545260e+00,-2.674448e-01
unknown,0.070000,5.274210e+00,-1.481999e+01,-5.713701e+01,-4.096462e-01,-1.530205e+01,-3.690342e+01,-3.290618e+00,-2.629329e+01,-1.638139e+01,-2.719198e+01,2.237297e+01,1.246416e+01,1.547412e+02,9.641762e-01,-4.555909e-01,-1.101433e+00,-2.336748e+00,2.304170e+00,3.464200e+00,-1.388506e+00,5.971284e+00,2.550835e+00,-8.206232e-01,-4.893979e+00,-9.734764e-01,3.621466e+00,2.298900e-01,-1.789808e-01,5.508355e-01,1.221302e+00,-7.375299e-01,1.467757e+00,-1.263147e+00,1.137732e+00,-1.555969e+00,-6.529459e-02,-1.028099e+00,-6.292250e-01,-7.348778e-01
unknown,0.080000,8.297699e+00,-1.395442e+01,-6.429844e+01,2.461016e+00,-2.504196e+01,-3.811863e+01,-1.183122e+01,-2.200204e+01,-8.320535e+00,-3.097271e+01,4.051941e+00,4.698103e+00,1.566553e+02,1.266725e+00,-3.092657e-01,-1.281918e+00,2.028218e-01,1.001097e-01,4.013563e+00,-5.010539e+00,3.659623e+00,1.223724e+00,1.570195e+00,-3.320972e+00,-3.585792e-01,2.296570e+00,-1.814554e-02,-1.320277e-02,3.048089e-01,1.500160e+00,-2.703814e-01,7.561959e-01,-6.790415e-01,3.140725e-01,-1.630048e+00,1.372396e-01,1.190935e+00,9.990860e-01,-9.563209e-01
unknown,0.090000,8.845502e+00,-1.363826e+01,-5.417369e+01,3.479443e+00,-1.549786e+01,-2.928906e+01,-1.668296e+01,-1.645436e+01,-2.787472e+00,-1.391681e+01,7.809277e+00,3.012259e+00,1.590947e+02,9.914920e-01,-8.456846e-01,-1.487692e+00,2.024724e+00,-1.732569e-01,4.643474e+00,-4.894694e+00,5.462636e+00,1.242099e+00,1.456422e+00,-5.544447e-01,2.883160e+00,1.129401e+00,-7.167304e-02,3.750849e-01,-4.645323e-01,1.207567e+00,-4.768520e-01,-2.101734e-01,1.011315e+00,-2.020005e-01,-1.470808e+00,-6.494711e-01,1.340303e+00,1.539932e+00,-9.434407e-01
