name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-6.776472e+00;-8.224948e+00;-2.060719e+00;3.191265e+00;1.069718e+01;1.696009e+01;2.134041e+01;1.212271e+01;-4.092356e-01;-3.437929e+00;-1.316357e+01;7.562845e-01;7.563108e+01;2.622893e+00;2.161298e+00;-3.299251e+00;-2.316663e+00;-4.261171e+00;-3.226485e+00;-4.614402e+00;-5.480174e+00;-3.652273e+00;-2.900027e+00;3.280200e+00;-5.953499e-01;3.000376e+00;-1.255627e+00;-1.668424e+00;-3.819017e-01;-1.096970e+00;-2.808410e-01;-3.589436e-01;3.194389e-02;4.560969e-01;-2.187859e-01;-2.583457e-01;-9.537848e-01;-4.013233e-01;3.286433e+00
'unknown';0.010000;-3.106801e+00;-3.009226e+00;-5.278854e+00;2.069355e+00;-2.353566e+00;1.023123e+01;1.219745e+01;-4.868183e+00;-1.671691e+01;-1.087051e+01;-4.132195e+00;1.106183e+00;7.800023e+01;1.607076e+00;-6.322827e-01;-4.352239e+00;-4.778940e+00;-5.621144e+00;-4.469434e+00;-5.042769e+00;-4.980437e+00;-5.031146e+00;-3.237469e+00;2.525230e+00;-8.647645e-01;9.134793e+00;-2.756635e+00;-2.556768e+00;-3.271452e-01;-1.068326e+00;7.037057e-01;2.310266e-01;6.791798e-01;1.083842e+00;3.523662e-01;-2.343446e-01;-1.927673e+00;-7.098128e-01;4.761977e+00
'unknown';0.020000;4.503158e+00;-2.631914e-02;-1.694791e+01;-7.831094e+00;-4.083303e+00;4.192097e+00;2.839881e+00;-6.782715e+00;-1.051676e+01;-1.422177e+01;-1.278257e+00;-2.395414e+00;8.944839e+01;-3.147332e+00;-4.784034e+00;-4.682265e+00;-6.570373e+00;-4.985390e+00;-4.399728e+00;-4.240499e+00;-3.449558e+00;-4.056766e+00;-4.023034e+00;-1.111240e+00;-2.467259e+00;1.636533e+01;-3.536202e+00;-2.216706e+00;2.792060e-01;-2.127991e-02;1.344080e+00;8.065656e-01;1.228472e+00;9.710451e-01;7.578839e-01;7.421520e-02;-2.438183e+00;-6.930998e-01;4.019083e+00
'unknown';0.030000;-4.380906e+00;-1.548568e+01;-1.637832e+01;-1.519226e+01;-1.001830e+01;9.969203e-01;5.376829e+00;-3.326762e+00;-2.051120e+01;-1.423336e+01;-6.480073e+00;-1.991688e+00;1.143964e+02;-8.275170e+00;-7.149878e+00;-4.243470e+00;-5.531436e+00;-3.805335e-01;-1.484730e+00;-1.405454e+00;-1.076271e+00;-1.688196e+00;-3.510246e+00;-4.162444e+00;-3.208459e+00;2.012779e+01;-2.212496e+00;-6.380751e-02;9.090129e-01;1.275537e+00;2.017241e+00;1.099555e+00;8.291435e-01;6.121464e-01;1.651568e+00;6.451787e-01;-1.952285e+00;-2.584161e-01;3.637539e-01
'unknown';0.040000;-2.187608e+01;-2.590689e+01;-1.992231e+01;-2.102979e+01;-1.039740e+01;-4.213937e-01;3.548228e+00;-5.895790e+00;-1.879592e+01;-2.187168e+01;-1.754583e+01;-1.003107e+01;1.392596e+02;-1.011700e+01;-5.663432e+00;-1.957606e+00;-2.046814e+00;-1.610757e-01;-6.860082e-01;-2.906982e-01;-2.577032e+00;-1.534329e+00;-2.392562e+00;-5.566879e+00;-2.889001e+00;1.759929e+01;6.657165e-01;1.942014e+00;1.237597e+00;1.762645e+00;1.616795e+00;8.115829e-01;2.182288e-01;3.764298e-01;1.409670e+00;1.203513e+00;-1.971917e-01;6.331797e-01;-3.473059e+00
'unknown';0.050000;-3.129303e+01;-2.581833e+01;-2.500900e+01;-1.898848e+01;-1.099184e+00;5.114328e+00;4.816003e+00;-1.069300e+01;-2.101831e+01;-2.459679e+01;-1.681063e+01;-1.111828e+01;1.537335e+02;-5.970572e+00;-5.116211e-01;-1.169504e+00;-6.630344e-01;2.052901e+00;-8.285195e-01;-2.871952e+00;-2.355968e+00;1.965477e+00;-8.268118e-01;-5.008373e+00;-1.945974e+00;1.033658e+01;2.704046e+00;2.533908e+00;1.291329e+00;1.308469e+00;2.428991e-01;1.366327e-01;-2.645254e-01;6.092405e-01;8.628632e-01;1.232450e+00;1.176392e+00;1.100396e+00;-5.212595e+00
'unknown';0.060000;-3.262576e+01;-2.317715e+01;-2.242060e+01;-1.616706e+01;-9.348240e+00;-1.296648e+00;1.666803e+00;-1.598475e+01;-1.793485e+01;-2.100287e+01;-2.394738e+01;-1.227712e+01;1.577763e+02;-9.710480e-01;1.606907e+00;-3.126488e-02;-1.913505e-01;1.881866e+00;-6.699190e-01;-2.416106e+00;-9.275603e-01;1.164747e+00;6.528147e-01;-1.674234e+00;6.739664e-02;3.895639e+00;2.714120e+00;1.689868e+00;6.736859e-01;7.609894e-01;-1.523304e-01;3.881723e-03;-2.151724e-01;1.151561e+00;2.754568e-01;6.885988e-01;2.202126e+00;1.070522e+00;-4.379514e+00
'unknown';0.070000;-2.885893e+01;-1.940865e+01;-2.097670e+01;-2.093880e+01;-2.783763e-01;-2.708050e+00;-8.042218e+00;-1.006212e+01;-1.111435e+01;-1.880182e+01;-2.832116e+01;-1.059853e+01;1.568210e+02;6.720825e-01;1.884494e+00;1.250005e+00;8.317509e-02;-1.875090e-01;-8.096112e-01;-1.665378e+00;1.145195e+00;1.276582e+00;1.129313e+00;-2.268082e-01;8.153223e-01;9.166366e-01;1.177485e+00;2.447300e-01;2.691150e-01;9.038554e-01;-8.318852e-01;-4.489873e-02;1.109809e-01;6.054128e-01;-5.309936e-01;1.606447e-01;2.188922e+00;8.354036e-01;-2.338684e+00
'unknown';0.080000;-2.794837e+01;-2.107720e+01;-2.209479e+01;-2.101138e+01;-1.398474e+00;1.402002e-01;-2.103192e+00;-1.084903e+01;-1.792417e+01;-2.150509e+01;-2.016173e+01;-9.953967e+00;1.571941e+02;1.322767e-01;1.587851e+00;2.010689e-01;1.385028e+00;1.974776e-01;-6.760537e-01;-1.969847e+00;1.430190e+00;1.874028e-01;7.236920e-02;3.052968e+00;1.082958e+00;4.116974e-01;-9.846712e-03;-2.713395e-01;-3.728752e-02;9.233543e-01;-5.890173e-01;-1.462758e-01;-4.451918e-01;3.183194e-02;-3.203470e-01;-2.349347e-01;1.210613e+00;5.430734e-01;-8.692279e-01
'unknown';0.090000;-3.027131e+01;-1.744584e+01;-1.892188e+01;-1.615044e+01;-6.011612e+00;3.478474e-01;-1.625887e+00;-7.534886e+00;-1.464074e+01;-1.869911e+01;-1.983749e+01;-8.203251e+00;1.586078e+02;-6.348087e-01;7.215565e-01;5.990391e-02;3.068054e+00;-1.264331e+00;-1.049946e+00;-2.540177e+00;-5.077795e-01;-2.008187e-01;2.666342e-01;3.572635e+00;1.723263e+00;3.851334e-01;-1.169809e-01;-4.352055e-01;-2.074879e-01;4.292507e-01;2.373603e-01;-8.003215e-02;-5.861781e-01;-4.276342e-01;-2.103770e-01;-2.508691e-01;4.734708e-01;6.370232e-01;-3.408589e-01
