name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-2.941090e+01;-4.995368e+01;-1.993182e+01;-1.397528e+01;-1.158318e+01;-1.992126e-01;-3.638511e+01;4.669171e+00;9.045335e+00;1.311481e+01;1.772403e+01;-1.260390e+01;1.602498e+02;1.778406e-01;3.009491e-02;7.387791e-02;-1.308647e+00;-2.337110e+00;-1.488247e+00;2.678710e+00;-1.512693e+00;1.677208e+00;-2.345512e+00;-3.013691e+00;-1.968131e+00;8.865891e-01;2.413183e-01;-4.564722e-01;1.635246e-01;6.800188e-01;6.104866e-01;7.953544e-01;9.122585e-01;2.076639e-01;5.763180e-02;2.694725e-01;3.390871e-01;6.426032e-02;5.276199e-02
'unknown';0.010000;-2.807065e+01;-5.217598e+01;-1.867204e+01;-2.059317e+01;-1.440052e+01;-8.240653e+00;-2.930572e+01;-2.627244e+00;9.971242e+00;9.250432e+00;1.046000e+01;-1.553849e+01;1.643517e+02;3.590799e-01;-1.176916e+00;-7.340794e-01;-9.677944e-01;-1.535905e+00;-1.703809e+00;3.881743e+00;-1.659183e+00;2.728028e+00;-2.080000e+00;-4.141821e+00;-2.985800e+00;1.011694e+00;2.598830e-01;-8.691009e-01;3.469958e-01;1.315872e+00;9.689540e-01;1.706673e+00;7.421137e-01;5.530187e-01;-9.124084e-02;6.628262e-01;1.568112e+00;7.735469e-01;-1.887778e-01
'unknown';0.020000;-2.919182e+01;-4.869206e+01;-2.019232e+01;-1.720956e+01;-2.186006e+01;-3.619728e+00;-2.653126e+01;7.539148e-01;1.696842e+01;3.319429e+00;6.287581e+00;-2.097725e+01;1.626318e+02;1.293812e+00;-1.648761e+00;1.295480e+00;1.921021e+00;3.147211e-01;2.596306e+00;6.638486e+00;-4.011282e-01;1.439957e+00;-1.130906e+00;-7.541915e-01;-1.137995e+00;1.087846e+00;2.356429e-01;-1.214314e+00;2.827411e-01;1.132527e+00;8.803806e-01;1.969664e+00;-1.312546e-01;3.039508e-01;-4.162523e-01;6.866016e-01;2.097406e+00;1.939988e+00;-3.875058e-01
'unknown';0.030000;-2.772504e+01;-5.646907e+01;-2.347196e+01;-1.719711e+01;-1.412427e+01;-7.007998e+00;-2.190333e+01;-1.669116e+00;1.872393e+01;7.612492e+00;2.733142e+00;-2.334622e+01;1.641173e+02;9.192696e-01;-3.475982e+00;1.198056e+00;3.655879e+00;1.181745e+00;5.002841e+00;4.409390e+00;6.966181e-01;1.339629e+00;3.613154e-01;3.697120e+00;1.484535e+00;-1.579285e-01;5.147949e-01;-4.815699e-01;5.752785e-01;9.837962e-01;5.748042e-01;1.642960e+00;-1.054882e+00;-1.315170e-01;-6.764537e-01;4.744442e-01;1.566917e+00;2.006630e+00;-6.535942e-01
'unknown';0.040000;-2.311465e+01;-5.605094e+01;-1.105445e+01;-6.068202e+00;-1.014770e+01;1.216599e+01;-6.893875e+00;2.184466e+00;1.186878e+01;8.279244e+00;1.781650e+01;-1.439001e+01;1.658062e+02;1.075960e+00;-4.891942e+00;5.215155e-01;2.042152e+00;7.059684e-01;5.006748e+00;1.758613e+00;-1.170839e+00;2.901459e-01;-1.331623e-01;3.553869e+00;5.496644e+00;-4.661285e-01;3.819650e-01;-1.659537e-01;-4.449949e-01;-1.352385e-01;1.932303e-01;1.617546e-01;-1.575050e+00;-1.232646e+00;-6.887981e-01;5.801183e-02;-2.979517e-02;6.753605e-01;-8.604426e-01
'unknown';0.050000;-2.651289e+01;-6.587645e+01;-1.725069e+01;-7.884455e+00;-1.434798e+01;8.880695e+00;-1.707746e+01;1.405708e-01;1.921921e+01;8.577102e+00;2.318114e+01;-1.140944e+01;1.619748e+02;3.041980e+00;-1.963175e+00;2.529295e+00;3.890621e+00;1.142492e+00;5.305770e+00;1.047271e+00;-1.931913e+00;-7.933493e-02;-2.066515e-01;1.538734e+00;3.730030e+00;-1.479289e+00;4.718498e-01;5.986761e-01;-7.491261e-01;-6.633847e-01;5.520233e-01;-5.476104e-01;-7.711096e-01;-1.481592e+00;-1.095141e+00;-1.848948e-01;-1.171586e+00;-8.718996e-01;-6.883774e-01
'unknown';0.060000;-2.441809e+01;-6.844808e+01;-2.069538e+01;-1.165513e+01;-1.821836e+01;1.346967e+01;-2.015113e+01;-6.005124e+00;1.817151e+01;2.171313e+00;1.383293e+01;5.375738e-01;1.613724e+02;2.142282e+00;-3.234932e+00;-1.595114e+00;1.127458e+00;1.300499e+00;3.253614e+00;4.442941e-01;-5.250091e+00;-1.294551e+00;-5.568635e-01;1.760258e-01;1.116060e+00;-2.553687e+00;1.189940e-01;1.040474e+00;-6.671824e-01;-1.085062e+00;9.046940e-01;-6.315670e-01;-3.827600e-01;-3.909677e-01;-4.377812e-01;-2.128891e-01;-9.149558e-01;-1.755371e+00;-6.822233e-01
'unknown';0.070000;-1.186342e+01;-6.008638e+01;-6.005024e+00;5.049463e+00;-4.376475e+00;1.886901e+01;-1.003835e+01;-7.233885e+00;1.517589e+01;9.633201e+00;1.241860e+01;-1.215986e+01;1.589377e+02;2.745358e+00;-1.311106e+00;-1.489259e+00;7.963027e-01;3.644596e+00;3.141356e+00;1.211002e+00;-4.671718e+00;-3.343725e+00;-3.513081e-01;-4.718880e-01;-6.846707e-01;-2.556036e+00;-6.898164e-01;5.710813e-01;-7.229071e-01;-2.349630e+00;1.266599e-01;-7.894471e-01;-5.315543e-01;8.401912e-01;3.072357e-02;-6.909117e-01;-4.534315e-01;-8.144808e-02;-4.187818e-01
'unknown';0.080000;-1.972797e+01;-7.512064e+01;-2.465286e+01;-6.897873e+00;-8.630957e+00;2.343990e+01;-8.191961e+00;-2.037876e+01;7.417683e+00;4.966877e+00;2.407790e+01;-8.434500e+00;1.545564e+02;1.819241e+00;-1.560860e-02;-8.051193e-01;-1.836000e+00;3.978386e+00;2.931120e+00;-2.370522e-01;-1.755775e+00;-2.665652e-01;-1.125280e+00;-1.559935e-02;-1.072862e+00;-3.338872e+00;-4.743839e-01;1.181481e+00;8.119138e-01;-1.579045e+00;-4.826536e-01;-8.997623e-01;-5.945801e-01;2.211945e+00;5.403107e-01;-4.752880e-01;-2.750290e-01;1.212508e+00;2.467072e-02
'unknown';0.090000;-1.513117e+01;-6.909570e+01;-2.271824e+01;-6.281569e+00;-9.186978e-01;1.960236e+01;-1.700203e+01;-1.603120e+01;7.877501e+00;5.422779e+00;1.569922e+01;-1.034675e+01;1.526027e+02;-2.455812e-01;-7.174301e-01;-1.480238e+00;-6.375802e+00;4.368479e-01;1.519781e+00;-1.269828e+00;5.218856e-01;-4.397101e-01;-3.377002e+00;-6.326114e-01;4.417250e+00;-3.180606e+00;-5.547260e-01;5.165704e-01;6.500560e-01;-9.513980e-01;-1.770351e+00;-1.315348e+00;-5.342931e-01;1.458776e+00;7.340781e-01;2.466648e-01;5.137709e-01;1.170931e+00;2.888561e-01
