@relation audio

@attribute name string
@attribute frameTime numeric
@attribute pcm_fftMag_mfcc[0] numeric
@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_fftMag_mfcc_de[0] numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_fftMag_mfcc_de_de[0] numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric

@data
'unknown',0.000000,-8.335982e+00,-1.931028e+00,-8.669515e+00,6.227642e+00,5.462881e-01,6.093874e+00,-1.055612e+01,-6.859695e+00,1.318452e+01,-7.146427e+00,1.121916e+01,-1.650876e+01,8.813346e+00,-3.094737e+00,-4.257157e+00,-2.653628e+00,-5.123013e+00,-4.609488e+00,-4.116042e+00,1.130793e+00,-2.940794e+00,1.796482e+00,4.428541e+00,-5.385569e+00,6.652623e+00,1.558594e+01,5.481203e-01,3.438469e-01,3.256146e-01,9.485078e-01,2.435730e-01,-9.007869e-02,8.205067e-01,-4.780276e-02,-1.568166e+00,-5.824226e-01,7.966288e-01,-3.102086e-01,-6.635246e-02
'unknown',0.010000,-2.276923e+01,-1.629978e+01,-2.063935e+01,-1.279873e+01,-1.371698e+01,-2.553553e-01,-9.909564e+00,-2.374551e+01,2.749546e+01,6.625144e+00,-7.504464e+00,-2.839664e+00,5.189029e+01,-2.629875e+00,-4.150249e+00,-2.172351e+00,-4.307474e+00,-5.472410e+00,-6.023932e+00,2.251941e+00,-3.479385e+00,-1.781341e+00,3.050454e+00,-3.439889e+00,7.506655e+00,1.766080e+01,1.069661e+00,1.094700e+00,8.985702e-01,2.002156e+00,1.085155e+00,4.402784e-01,4.882244e-01,4.402401e-02,-2.288521e+00,-1.241763e+00,1.582494e+00,-1.428239e+00,-2.287167e+00
'unknown',0.020000,-1.659304e+01,-1.603244e+01,-1.595274e+01,-9.874234e+00,-1.536952e+01,-1.131172e+01,-5.225440e+00,-1.312076e+01,1.501147e+01,8.110494e+00,-6.346863e+00,9.919811e+00,6.520459e+01,-5.865662e-01,-2.591377e+00,-1.266194e+00,-7.882427e-01,-2.960163e+00,-3.612490e+00,4.672752e+00,-2.910512e+00,-4.255436e+00,2.205471e+00,-2.375264e+00,4.674564e+00,1.421675e+01,1.014219e+00,1.496156e+00,7.493287e-01,2.074687e+00,1.626244e+00,1.114071e+00,-5.307790e-01,-3.571673e-01,-1.252934e+00,-1.580294e+00,1.985231e+00,-2.053076e+00,-3.816030e+00
'unknown',0.030000,-1.735683e+01,-1.563157e+01,-1.588966e+01,-7.258792e+00,-1.885786e+01,-1.532299e+01,-1.961759e+00,-2.112609e+01,3.364347e+00,4.773836e-01,2.802733e+00,7.810235e+00,6.892171e+01,9.994847e-01,3.834496e-01,1.145506e+00,2.720384e+00,-8.375931e-03,-2.166426e+00,1.800935e+00,-2.735814e+00,-6.620164e+00,-6.687376e-01,1.021750e+00,5.004563e-01,4.834705e+00,6.493765e-01,1.415291e+00,4.641779e-01,1.090397e+00,1.710621e+00,1.963301e+00,-1.352202e+00,-2.334598e-01,1.057479e+00,-1.165811e+00,1.100738e+00,-1.988630e+00,-4.141128e+00
'unknown',0.040000,-1.397501e+01,-1.522201e+01,-1.737533e+01,-4.835434e-01,-1.168409e+01,-4.434761e+00,8.833734e+00,-2.272196e+01,3.972900e+00,6.954808e+00,-5.810755e+00,1.539116e+00,7.138141e+01,1.616783e-01,9.567754e-01,-5.659130e-01,1.736490e+00,7.897129e-01,-4.744424e-01,-1.297599e+00,-5.098415e+00,-2.048778e+00,-1.613335e+00,2.309767e+00,-1.096589e-01,2.918839e+00,5.084044e-03,8.442961e-01,2.270124e-01,-5.965222e-01,8.047312e-01,1.377998e+00,-1.795720e+00,1.228013e-01,2.076598e+00,-7.306659e-01,2.178975e-01,-1.001729e+00,-2.615294e+00
'unknown',0.050000,-1.908082e+01,-1.478774e+01,-1.420053e+01,-3.892159e+00,-1.560158e+01,-1.452597e+01,-7.934474e+00,-3.262397e+01,-8.607380e-02,3.859298e+00,-2.663768e+00,3.852966e+00,7.297541e+01,2.428849e-01,1.152130e+00,-2.016022e-01,-1.178571e-01,1.205757e+00,2.223550e+00,-1.523892e+00,-3.552732e+00,2.402726e+00,-8.691975e-01,-2.787142e-01,-4.438400e-02,2.604118e+00,-1.634796e-01,-7.137776e-02,-8.664577e-02,-1.319063e+00,1.815760e-01,1.105141e+00,-2.632746e-01,1.631539e+00,2.086114e+00,8.765627e-02,-8.332552e-01,-6.440357e-02,-6.368888e-01
'unknown',0.060000,-1.492266e+01,-1.167048e+01,-1.962687e+01,-2.875100e+00,-1.304909e+01,-1.408245e+01,-8.727077e+00,-3.286389e+01,6.492790e+00,-1.647137e+00,7.935225e+00,1.135015e+01,7.777193e+01,-1.828461e-01,1.245764e+00,5.424221e-01,-2.351733e+00,4.564269e-01,1.082510e+00,-2.643436e+00,-1.888046e+00,1.616110e+00,-1.347629e+00,-6.355445e-01,-6.166179e-02,2.255579e+00,-2.038646e-01,-6.499043e-01,4.856425e-01,-6.517912e-01,-1.120037e-01,4.428590e-01,6.413188e-01,1.933423e+00,4.008616e-01,6.206440e-01,-1.327343e+00,-2.582988e-01,-4.106337e-01
'unknown',0.070000,-1.566858e+01,-1.164669e+01,-1.577190e+01,-6.652299e+00,-1.214657e+01,6.186036e-01,-8.008149e-01,-3.381878e+01,1.411803e+01,4.323683e-01,-5.463828e+00,2.682797e+00,7.874704e+01,3.543487e-01,-1.179334e-01,1.581094e-01,-1.830820e+00,1.066147e+00,2.580802e+00,1.157481e+00,3.816696e+00,1.977962e+00,-3.633093e-01,-1.671870e+00,1.544399e-01,1.981891e+00,-2.199421e-01,-6.678702e-01,4.530590e-01,3.949134e-01,-4.255002e-01,-6.279379e-01,6.967978e-01,1.130270e+00,-6.999508e-01,5.110552e-01,-5.114365e-01,-2.797562e-02,-4.124332e-01
'unknown',0.080000,-1.659536e+01,-1.056372e+01,-1.387753e+01,-1.086214e+01,-1.112946e+01,-6.594497e+00,-7.950274e+00,-3.156479e+01,4.951398e+00,1.930130e+00,-7.588447e+00,1.815891e+00,7.977349e+01,-9.133768e-01,-1.657714e+00,1.682444e+00,-6.659842e-01,2.994995e-01,1.561226e+00,5.683082e-01,8.839874e-01,1.679117e-01,1.236941e+00,-3.630371e+00,-1.500565e+00,1.176783e+00,-1.062996e-01,-3.375144e-01,2.542068e-02,9.869150e-01,-3.756992e-01,-5.357951e-01,8.903087e-01,3.260734e-01,-4.400484e-01,2.466959e-01,2.655120e-01,1.368695e-01,-2.925856e-01
'unknown',0.090000,-1.647272e+01,-1.593078e+01,-1.628465e+01,-9.052740e+00,-1.123066e+01,-5.365932e+00,-2.535473e+00,-1.419005e+01,1.057443e+01,2.541183e-01,-3.261280e+00,9.392295e+00,8.188409e+01,-4.915602e-01,-7.354824e-01,1.493682e+00,1.013835e+00,-8.432801e-01,-1.155498e+00,3.542250e-01,7.125994e-01,-3.729293e-01,3.937937e-01,-1.338483e+00,5.351894e-01,1.081350e+00,8.766596e-02,4.894828e-01,-4.108858e-01,6.542144e-01,-4.623544e-01,-7.634369e-01,4.038505e-01,-4.360823e-01,-7.037615e-01,-2.100588e-01,1.259348e+00,1.772075e-01,-1.816711e-01
